Year,Month,Coastal Tmin,Middle Tmin,Northern Tmin
1978,11,23.598,21.472,20.26416667
1978,12,23.97290323,22.12967742,19.40483871
1979,1,24.53354839,22.62967742,20.65241935
1979,2,24.74357143,22.92142857,21.46339286
1979,3,24.59870968,23.27483871,25.45322581
1979,4,24.708,23.65333333,25.76833333
1979,5,23.76580645,22.66516129,22.84516129
1979,6,21.77533333,22.394,22.57916667
1979,7,23.12903226,22.06193548,22.01854839
1979,8,23.39225806,22.3,22.53951613
1979,9,23.476,22.02866667,21.84416667
1979,10,23.49354839,22.50709677,22.46612903
1979,11,23.704,22.49066667,21.5025
1979,12,23.56,20.5883871,18.68548387
1980,1,24.23806452,22.56903226,21.12419355
1980,2,24.62206897,23.12137931,23.36551724
1980,3,24.52193548,23.28709677,25.35483871
1980,4,24.67866667,23.778,25.77
1980,5,23.70967742,23.01806452,24.30483871
1980,6,24.11533333,22.81,23.3675
1980,7,22.83935484,22.04451613,22.76532258
1980,8,22.72645161,21.78967742,22.13064516
1980,9,23.32066667,22.078,22.32833333
1980,10,23.20709677,22.11612903,22.34596774
1980,11,23.35466667,22.12933333,21.23166667
1980,12,22.23548387,19.90580645,17.17177419
1981,1,23.34064516,19.47795699,18.22741935
1981,2,24.90071429,23.13809524,23.18571429
1981,3,24.53290323,22.97688172,24.96048387
1981,4,24.80466667,23.26444445,24.48333333
1981,5,23.96,22.63010753,23.96854839
1981,6,23.67933333,22.135,23.02166667
1981,7,22.90645161,21.37688172,22.37903226
1981,8,22.56129032,21.59806452,21.13225806
1981,9,23.088,21.63166667,21.8975
1981,10,23.5483871,21.82795699,20.54354839
1981,11,23.3,21.56611111,19.23916667
1981,12,24.34709677,22.26344086,18.66854839
1982,1,17.05322581,20.47795699,17.72822581
1982,2,24.80089286,22.84880952,22.66339286
1982,3,25.04516129,23.02849462,24.46854839
1982,4,24.725,23.12333333,24.88583333
1982,5,23.78145161,22.32526882,24.15483871
1982,6,23.65333333,22.10166667,22.94083333
1982,7,22.43290323,21.37258065,22.39032258
1982,8,21.67419355,20.5811828,22.03064516
1982,9,22.21833333,21.53833333,19.98416667
1982,10,23.43306452,21.6672043,22.05322581
1982,11,23.74166667,21.81944445,19.8975
1982,12,23.81854839,21.11505376,18.63709677
1983,1,20.70483871,19.26505376,18.10725806
1983,2,24.57,23.26071429,23.41071429
1983,3,25.97741935,24.33010753,25.25887097
1983,4,25.39,23.67333333,25.27083333
1983,5,25.18870968,23.60322581,24.6483871
1983,6,23.882,22.19333333,23.13083333
1983,7,22.45645161,21.57634409,20.6
1983,8,22.32903226,21.28172043,22.60645161
1983,9,23.068,21.68333333,22.48555556
1983,10,23.90064516,21.96827957,19.40483871
1983,11,24.29666667,22.40666667,19.9325
1983,12,23.71548387,21.65967742,17.54435484
1984,1,24.21870968,21.52849462,19.80080645
1984,2,24.56068966,20.94597701,20.81637931
1984,3,25.12580645,23.14129032,25.43064516
1984,4,24.64533333,23.155,25.52666667
1984,5,24.33290323,22.47043011,21.98951613
1984,6,23.53166667,21.34583333,18.49
1984,7,22.92096774,20.7516129,19.2016129
1984,8,22.86580645,21.56827957,21.98924731
1984,9,22.69933333,21.21888889,21.77222222
1984,10,23.24258065,21.75322581,22.22903226
1984,11,23.772,22.24777778,21.62666667
1984,12,23.06129032,20.32096774,18.09112903
1985,1,23.68709677,19.69806452,20.83629032
1985,2,24.17857143,20.97857143,21.93392857
1985,3,19.64731183,21.51677419,25.29758065
1985,4,20.57833333,22.98,22.47
